aː1bmt,A/bend
ɡɛ1lt,Ge/ld
ɡɪ1ŋ,gi/ng
ɡlaɔ1bm,glau/ben
ɡla1nts,Gla/nz
ɡʁaː1s,Gra/s
ɡʁaː1t,Gra/d
ɡʁoː1s,gro/ß
ɡʁʊ1nt,Gru/nd
ɡʁyː1n,grü/n
hɔ1fn,ho/ffen
hyː1ɡl,Hü/gel
haɛ1s,hei/ß
haɔ1pt,Hau/pt
haɔ1t,Hau/t
ha1t,ha/t
hɛ1ʁts,He/rz
hoː1x,ho/ch
hɔ1lts,Ho/lz
hʊ1nt,Hu/nd
ɪ2m,i/m
ɪ2n,i/n
ɪ1st,i/st
ʝaː1,ja/
ʝaː1ʁ,Jah/r
ʝeː1,je/
ʝʊ1ŋ,ju/ng
ka1stn,Ka/sten
kuː1ɡl,Ku/gel
klaɛ1dn,klei/den
klaː1ʁ,kla/r
knɔ1xn,Kno/chen
kʁiː1k,Krie/g
kuː1,Kuh/
kʊ1ʁs,Ku/rs
kʊ1ʁts,ku/rz
laɔ1fn,lau/fen
leː1zn,le/sen
løː1zn,lö/sen
la1nt,La/nd
laɔ1t,lau/t
lɛ1ʁm,Lä/rm
liː1t,Lie/d
lɪ1çt,Li/cht
lʊ1ft,Lu/ft
maː1ln,ma/len
ma1n,Ma/nn
ma1ʁkt,Ma/rkt
mɛ1nʃ,Me/nsch
mɪ1t,mi/t
mʊ1nt,Mu/nd
mʊ1s,mu/ss
naː1x,na/ch
na1xt,Na/cht
nɪ1çts,ni/chts
nɔœ1,neu/
nɔœ1n,neu/n
nɔ1x,no/ch
oː1,oh/
paː1ʁ,Paa/r
pfʊ1nt,Pfu/nd
plaː1n,Pla/n
ʁaɛ1fn,Rei/fen
ʁeː1ɡl,Re/gel
ʁeː1ɡln,re/geln
ʁɛ1st,Re/st
ʁoː1t,ro/t
stɪ1k,Sti/ck
stʁɛ1tʃ,Stre/tch
ʃa1ŋs,Cha/nce
ʃɑ̃ː1s,Chan/ce
ʃlɛ1çt,schle/cht
ʃnɛ1l,schne/ll
ʃnɪ1t,Schni/tt
ʃpaː1s,Spa/ß
ʃpiː1l,Spie/l
ʃpiː1ln,spie/len
ʃpʁɛ1çn,spre/chen
ʃʁaɛ1bm,schrei/ben
ʃʁiː1p,schrie/b
ʃta1ʁk,sta/rk
ʃta1ʁt,Sta/rt
ʃta1t,Sta/dt
ʃta1t,sta/tt
ʃtʁoː1m,Stro/m
ʃtʏ1k,Stü/ck
ʃuː1,Schuh/
taɛ1l,Tei/l
tiːɐ1,Tier/
toː1n,To/n
tʁaː1ɡŋ,tra/gen
tsaɛ1çn,Zei/chen
tsaː1ln,zah/len
tseː1n,zeh/n
tsuː1,zu/
tsvaɛ1k,Zwei/g
va1ʁtn,war/ten
vɛ1stn,We/sten
vʏ1nʃn,wü/nschen
vaː1ʁ,wa/r
vaː1ʁ,wah/r
vaɛ1ç,wei/ch
va1nt,Wa/nd
veː1k,We/g
vɛː1ln,wäh/len
vɛ1lt,We/lt
vɔ1ln,wo/llen
zaː1ɡŋ,sa/gen
za1mln,sa/mmeln
zɛ1tsn,se/tzen
ziː1bm,sie/ben
zyː1dn,Sü/den
zaɛ1n,sei/n
zaɛ1t,sei/t
za1nft,sa/nft
za1nt,Sa/nd
za1ts,Sa/tz
zeː1,See/
zɛ1ks,se/chs
ziː1,sie/
zoː1n,Soh/n
zɔ1nst,so/nst
ba1lt,ba/ld
baɔ1m,Bau/m
blɪ1k,Bli/ck
bluː1t,Blu/t
boː1t,Boo/t
bʁoː1t,Bro/t
da1mpf,Da/mpf
da2n,da/nn
da2s,da/ss
dʁʊ1k,Dru/ck
dʏ1n,dü/nn
faː1ʁt,Fah/rt
faɛ1nt,Fei/nd
fa1l,Fa/ll
fɛ1t,Fe/tt
fiː1l,vie/l
flaɛ1ʃ,Flei/sch
flʊ1s,Flu/ss
fɔ1l,vo/ll
fɔ1ʁm,Fo/rm
fʁɪ1ʃ,fri/sch
fʁɔ1nt,Fro/nt
fʁɔœ1nt,Freu/nd
ɡlaː1s,Gla/s
ɡlaɛ1ç,glei/ch
ɡʁaɔ1,grau/
ɡuː1t,gu/t
ha1ls,Ha/ls
ha1nt,Ha/nd
haɔ1s,Hau/s
hɛ1l,he/ll
hoː1f,Ho/f
huː1t,Hu/t
iː1m,ih/m
ɪ1ç,i/ch
ʝaː1kt,Ja/gd
ʝɛ1tst,je/tzt
kaː1m,ka/m
ka1mpf,Ka/mpf
kɪ1nt,Ki/nd
klaɛ1n,klei/n
klaɛ1t,Klei/d
klʊ1ft,Klu/ft
kɔ1pf,Ko/pf
kɔ1x,Ko/ch
kʁaɛ1s,Krei/s
kʁa1ft,Kra/ft
kʊ1nst,Ku/nst
kva1ʁt,Qua/rt
kyː1ln,küh/len
liː1f,lie/f
lɪ1ŋks,li/nks
lɔ1x,Lo/ch
ma1xt,Ma/cht
moː1nt,Mo/nd
naː1m,nah/m
niː1,nie/
nɪ1çt,ni/cht
oː1pst,O/bst
ɔ1ft,o/ft
ɔ1p,o/b
ɔ1ʁt,O/rt
pla1ts,Pla/tz
pʊ1ŋkt,Pu/nkt
ʁa1nt,Ra/nd
ʁaɔ1m,Rau/m
ʁɛ1çt,Re/cht
ʁʊ1tʃ,Ru/tsch
sɛ1nt,Ce/nt
ʃa1ʁf,scha/rf
ʃɛ1f,Che/f
ʃɪ1f,Schi/ff
ʃlaː1f,Schla/f
ʃlaː1k,Schla/g
ʃneː1,Schnee/
ʃpɛː1t,spä/t
ʃʁaɛ1,Schrei/
ʃtaɛ1n,Stei/n
ʃta1m,Sta/mm
ʃta1nt,sta/nd
ʃtɛ1ʁn,Ste/rn
ʃtɪ1l,sti/ll
ʃtɔ1p,Sto/pp
ʃtuː1l,Stuh/l
ʃva1nts,Schwa/nz
ʃva1ʁts,schwa/rz
taː1k,Ta/g
taː1l,Ta/l
ta1nts,Ta/nz
tiː1f,tie/f
toː1t,to/t
toː1t,To/d
tsaː1l,Zah/l
tsaɛ1t,Zei/t
tsɛː1ln,zäh/len
tsɛ1nt,Ce/nt
tsɔ1l,Zo/ll
tsɔ1ʁn,Zo/rn
tsuː1k,Zu/g
tsvaɛ1,zwei/
tuː1n,tu/n
tuː1t,tu/t
tyː1p,Ty/p
ʊ1ns,u/ns
ʊ1nt,u/nd
vaɛ1s,wei/ß
vaɛ1t,wei/t
va1lt,Wa/ld
va1s,wa/s
vɛ1n,we/nn
viː1,wie/
vɪ1nt,Wi/nd
vɪ1ʁt,wi/rd
voː1,wo/
vɔ1ʁt,Wo/rt
zaɛ1l,Sei/l
za1lts,Sa/lz
zɛ1lpst,se/lbst
zɪ1n,Si/nn
zɪ1nt,si/nd
zɪ1ts,Si/tz
zoː1,so/
blaɛ1bm,blei/ben
dɔ1plt,do/ppelt
dʊ1ŋkl,du/nkel
fɪ1ndn,fi/nden
foː1ɡl,Vo/gel
fʁaː1ɡŋ,fra/gen
ɡeː1ɡŋ,ge/gen
haː1bm,ha/ben
haː1fn,Ha/fen
ha1ltn,ha/lten
ha1ndl,Ha/ndel
hɪ1ml,Hi/mmel
kaɔ1fn,kau/fen
la1sn,la/ssen
leː1bm,le/ben
leː1ɡŋ,le/gen
ma1ntl,Ma/ntel
ma1xn,ma/chen
mɛ1ʁkŋ,me/rken
mɛ1sn,me/ssen
mɪ1ʃn,mi/schen
mʏ1sn,mü/ssen
nɔ1ʁdn,No/rden
pa1sn,pa/ssen
pflʏ1kŋ,pflü/cken
ʃa1fn,scha/ffen
ʃʏ1tsn,schü/tzen
ʃlaː1ɡŋ,schla/gen
ʃlʏ1sl,Schlü/ssel
ʃtaɛ1ɡŋ,stei/gen
ʃtɛ1ʁbm,ste/rben
taɔ1znt,tau/send
tøː1tn,tö/ten
tʁɛ1fn,tre/ffen
tʁɔ1kŋ,tro/cken
tsaɛ1ɡŋ,zei/gen
tsvɪ1ʃn,zwi/schen
va1ksn,wa/chsen
vɛ1ʁfn,we/rfen
vɪ1sn,wi/ssen
vʊ1ʁtsl,Wu/rzel
zeː1ɡl,Se/gel
zɛ1ndn,se/nden
zɪ1tsn,si/tzen
zuː1xn,su/chen
aɔ1sɐ0,au/ßer/
a1ʁbaɛ2t,A/rbei/t
eː1ɐ0,eh/er/
ɐ2laɔ1bm,er/lau/ben
ɐ2ʁaɛ1çn,er/rei/chen
ɐ2ʃaɛ1nə0n,er/schei/ne/n
aː1bɐ0,a/ber/
aɛ1le0,Ei/le/
aɛ1nfa2x,ei/nfa/ch
aɛ1nɡeː2bm,ei/nge/ben
aɛ1nhaɛ2t,Ei/nhei/t
aɛ1nmaː2l,ei/nma/l
aɛ1nʁaɛ2bm,ei/nrei/ben
aɛ1nzaː2m,ei/nsa/m
a1le0,a/lle/
a1ltɐ0,A/lter/
aɔ1ftʁeː2tn,au/ftre/ten
aɔ1ɡe0,Au/ge/
aɔ1toː2,Au/to/
a1pza0ts,A/bsa/tz
a1xtʊ2ŋ,A/chtu/ng
ɛ1ke0,E/cke/
ɛ1nde0,E/nde/
ɛ1ʁnte0,E/rnte/
ɪ1mɐ0,i/mmer/
uː1fɐ0,U/fer/
ʊ1ntɐ0,u/nter/
a0kɔ1ʁt,A/kko/rd
a2toː1m,A/to/m
ɐ2fɪ1ndn,er/fi/nden
ɐ2fɔ1lk,Er/fo/lg
ɐ2ha1ltn,er/ha/lten
ɐ2ʁaː1tn,er/ra/ten
baː1zɪ0s,Ba/si/s
baɔ1e0n,bau/e/n
be0dɔœ1tn,be/deu/ten
be0ʁaɛ1ç,Be/rei/ch
bə2ʃtɛ1ln,be/ste/llen
bə2zɪ1tsn,be/si/tzen
bʁɪ1ŋe0n,bri/nge/n
daː1me0,Da/me/
da1ŋkŋ,da/nken
daɔ1ɐ0,Dau/er/
diː1ne0n,die/ne/n
diː1ze0,die/se/
dɔ1laː0ʁ,Do/lla/r
deː1ɐ0,de/r/
fa1ʁbe0,Fa/rbe/
fɪ1ʁmaː2,Fi/rma/
fɔ1ʁtzɛ2tsn,fo/rtse/tzen
fyː1se0,Fü/ße/
fɐ2ɡlaɛ1çn,ver/glei/chen
fɐ0kaɔ1fn,ver/kau/fen
fɐ2tʁeː1tn,ver/tre/ten
fiː1ɐ0,vie/r/
foː1ɐ0,vo/r/
fʁɔœ1de0,Freu/de/
fʁa0ktsioː1n,Fra/ktio/n
fyː1ɐ0,fü/r/
ɡeː1e0n,geh/e/n
ɡe0bʁa1xt,ge/bra/cht
ɡe0tʁɛ1ŋk,Ge/trä/nk
ɡe0veː1zn,ge/we/sen
ɡe0za1mt,ge/sa/mt
ɡə2zɛ1ts,Ge/se/tz
ɡlɔ1ke0,Glo/cke/
ɡʁøː1se0,Grö/ße/
ha1te0,ha/tte/
hɛ1lfte0,Hä/lfte/
hiː1ɐ0,hie/r/
i2deː1,I/dee/
ka1ʁte0,Ka/rte/
kœ1ne0n,kö/nne/n
kɔ1me0n,ko/mme/n
leː1ʁe0n,leh/re/n
lɛ1ʁne0n,le/rne/n
løː1zʊ0ŋ,Lö/su/ng
mɛː1tçe0n,Mä/dche/n
mɛ1nɐ0,Mä/nner/
mɛ1se0,Me/sse/
miː1ne0,Mi/ne/
mɪ1taː2k,Mi/tta/g
moː1na0t,Mo/na/t
mʊ1stɐ0,Mu/ster/
miː1ɐ0,mi/r/
naː1me0,Na/me/
neː1me0n,neh/me/n
niː1dʁɪ0ç,nie/dri/g
nuː1ɐ0,nu/r/
ɔ0pʝɛ1kt,O/bje/kt
poː1ze0,Po/se/
pa2ʁtaɛ1,Pa/rtei/
pfeː1ɐ0t,Pfe/r/d
pfleː1ɡe0,Pfle/ge/
plœ1tslɪ0ç,plö/tzli/ch
pʁɛ1se0,Pre/sse/
pʁo0bleː1m,Pro/ble/m
pʁo2tsɛ1s,Pro/ze/ss
ʁeː1de0,Re/de/
ʁɪ1çtɪ0ç,ri/chti/g
ʁʊ1nde0,Ru/nde/
ʁe2kɔ1ʁt,Re/ko/rd
ʃaɛ1ne0n,schei/ne/n
ʃa1ŋse0,Cha/nce/
ʃɑ̃ː1se0,Chan/ce/
ʃuː1le0,Schu/le/
ʃʊ1ltɐ0,Schu/lter/
ʃyː1lɐ0,Schü/ler/
ʃnuː1ɐ0,Schnu/r/
ʃpaː1ʁe0n,spa/re/n
ʃpaɛ1çe0,Spei/che/
ʃpa1lte0,Spa/lte/
tsɛ1le0,Ze/lle/
tsɛ1ntʁʊ2m,Ze/ntru/m
tsiː1mlɪ0ç,zie/mli/ch
tsuː1ʃta0nt,Zu/sta/nd
tsuː2ʁʏ1k,zu/rü/ck
tsvaɛ1te0,zwei/te/
va1sɐ0,Wa/sser/
veː1nɪ0ç,we/ni/g
vɛː1ʁe0nt,wäh/re/nd
vɛ1ʁktsɔœ2k,We/rkzeu/g
vɛ1ʁme0,Wä/rme/
vɪ1ntɐ0,Wi/nter/
voː1nʊ2ŋ,Woh/nu/ng
vɔ1lke0,Wo/lke/
vɔ1xe0,Wo/che/
vʊ1ndɐ0,Wu/nder/
vʊ1ste0,wu/sste/
va2ʁʊ1m,wa/ru/m
veː1ɐ0t,We/r/t
viː1ɐ0,wi/r/
vo0kaː1l,Vo/ka/l
zaː1me0n,Sa/me/n
za1xe0,Sa/che/
zɪ1çɐ0,si/cher/
zɪ1lbɐ0,Si/lber/
zɪ1lbe0,Si/lbe/
zɔ1ne0,So/nne/
zuː1xe0,Su/che/
zɛ2ɡmɛ1nt,Se/gme/nt
zɛ0zɔ1ŋ,Sai/so/n
zɔ0ldaː1t,So/lda/t
zʊ2psta1nts,Su/bsta/nz
zʏ2steː1m,Sy/ste/m
bɔː1ɐ0t,Boa/r/d
duː1ɐ0,Du/r/
eː1ɐ0,e/r/
haː1ʁ,Haa/r
meː1ɐ0,Mee/r/
oː1ɐ0,Oh/r/
ʁoː1ɐ0,Roh/r/
ʃpuː1ɐ0,Spu/r/
ʃveː1ɐ0,schwe/r/
tyː1ɐ0,Tü/r/
uː1ɐ0,Uh/r/
zeː1ɐ0,seh/r/
ɐ2va1ʁtn,er/wa/rten
baɛ1de0,bei/de/
baɛ1ʃpiː2l,Bei/spie/l
bɛ1sɐ0,be/sser/
bɛ1ste0,be/ste/
be0ɡa1n,be/ga/nn
be0ɡɪ1n,Be/gi/nn
be0kaː1m,be/ka/m
be0ʁaɛ1t,be/rei/t
be0ʁyː1mt,be/rüh/mt
be0tʁa1xtn,be/tra/chten
be0zuː1x,Be/su/ch
bʁɛ1ne0n,bre/nne/n
bʁuː1dɐ0,Bru/der/
by2ʁo1ː,Bü/ro/
deː1ʁe0n,de/re/n
di2ʁɛ1kt,di/re/kt
dʁaɛ1ɛ0k,Drei/e/ck
dʁɪ1te0,dri/tte/
faː1tɐ0,Va/ter/
faɛ1ɡe0,Fei/ge/
fa1lte0,Fa/lte/
fɛː1ɪ0ç,fäh/i/g
fɛ1nstɐ0,Fe/nster/
fɪ1nɪ0ʃ,Fi/ni/sh
fɪ1ŋɐ0,Fi/nger/
fɔœ1ɐ0,Feu/er/
fyː1ʁe0n,füh/re/n
fɐ2zuː1x,Ver/su/ch
fi2laɛ1çt,vie/llei/cht
fʁaː1ɡe0,Fra/ge/
fʁyː1lɪ0ŋ,Früh/li/ng
ɡə2bɪ1s,Ge/bi/ss
ɡə2dɪ1çt,Ge/di/cht
ɡə2fʊ1ndn,ge/fu/nden
ɡə2naɔ1,ge/nau/
ɡə2nuː1k,ge/nu/g
ɡə2ʁʊ1x,Ge/ru/ch
ɡə2ʃɛ1ft,Ge/schä/ft
ɡə2ʃʁiː1bm,ge/schrie/ben
ɡə2taː1n,ge/ta/n
ɡə2vɪ1çt,Ge/wi/cht
ɡə2zɪ1çt,Ge/si/cht
ɡlʏ1klɪ0ç,glü/ckli/ch
ɡʁʊ1pe0,Gru/ppe/
hɪ1lfe0,Hi/lfe/
hɪ1ntɐ0,hi/nter/
høː1ʁe0n,hö/re/n
hʊ1ndɐ0t,hu/nder/t
ʝeː1dɐ0,je/der/
ʝʊ1ŋe0,Ju/nge/
ka1tse0,Ka/tze/
kɛ1lte0,Kä/lte/
køː1nɪ0ç,Kö/ni/g
kœ1nte0,kö/nnte/
kœ1ʁpɐ0,Kö/rper/
kʏ1ste0,Kü/ste/
kla1se0,Kla/sse/
klɪ1ŋe0n,kli/nge/n
ko0piː1,Ko/pie/
laː1ɡɐ0,La/ger/
laɛ1ste0,Lei/ste/
lɛ1tste0,le/tzte/
liː1be0,Lie/be/
lɪ1ste0,Li/ste/
lyː1ɡe0,Lü/ge/
maɛ1le0,Mei/le/
maɛ1ne0,mei/ne/
ma1ʁke0,Ma/rke/
ma1se0,Ma/sse/
mɛ1ŋe0,Me/nge/
mɪ1te0,Mi/tte/
mʊ1tɐ0,Mu/tter/
ma2ɡneː1t,Ma/gne/t
me2ta1l,Me/ta/ll
mo2mɛ1nt,Mo/me/nt
mu2ziː1k,Mu/si/k
naː1ze0,Na/se/
nɛː1e0,Näh/e/
noː1me0n,No/me/n
paɔ1ze0,Pau/se/
pɛ2ʁzoː1n,Pe/rso/n
plaɛ1te0,plei/te/
pʁa1ksɪ2s,Pra/xi/s
pʁyː1fʊ2ŋ,Prü/fu/ng
pʁo2dʊ1kt,Pro/du/kt
ʁaɛ1e0,Rei/he/
ʁaɛ1ze0,Rei/se/
ʁiː1zɪ0ç,rie/si/g
ʁɔ1le0,Ro/lle/
ʁuː1ɪ0ç,ruh/i/g
sklaː1ve0,Skla/ve/
ʃaː1le0,Scha/le/
ʃiː1ne0,Schie/ne/
ʃpaɛ1çɐ0,Spei/cher/
ʃpʁaː1xe0,Spra/che/
ʃpʁɪ1ŋe0n,spri/nge/n
ʃteː1e0n,steh/e/n
ʃtɛ1le0,Ste/lle/
ʃtɪ1me0,Sti/mme/
ʃtʊ1nde0,Stu/nde/
ʃtʁaː1se0,Stra/ße/
ʃvɛ1stɐ0,Schwe/ster/
ʃviː1ʁɪ0ç,schwie/ri/g
ʃvɪ1me0n,schwi/mme/n
teː1maː0,The/ma/
tʁɛ1ne0n,tre/nne/n
tʁɔœ1me0n,träu/me/n
tsiː1e0n,zieh/e/n
tsɪ1mɐ0,Zi/mmer/
tsʊ1kɐ0,Zu/cker/
vaː1ʁe0n,wa/re/n
vaː1ʁʊ0m,wa/ru/m
veː1ɐ0dn,we/r/den
vɛ1le0,We/lle/
vɛ1ʁbʊ0m,Ve/rbu/m
vɛ1tɐ0,We/tter/
viː1dɐ0,wie/der/
vɪ1ntsɪ0ç,wi/nzi/g
vɪ1ʁkʊ0ŋ,Wi/rku/ng
vyː1ste0,Wü/ste/
zaɛ1ne0,sei/ne/
zaɛ1te0,Sei/te/
zaɔ1bɐ0,sau/ber/
zeː1e0n,seh/e/n
zɛː1ɡe0,Sä/ge/
zɪ1ŋe0n,si/nge/n
zɔ1mɐ0,So/mmer/
zʊ1fɪ0ks,Su/ffi/x
zʊ0fɪ1ks,Su/ffi/x
a1nt#vɔ2ʁt,A/nt#wo/rt
a1nt#vɔ2ʁtn,a/nt#wo/rten
aɔ1f#ʃtiː2k,Au/f#stie/g
aɔ1f#tsuː2k,Au/f#zu/g
aɔ1ɡŋ#blɪ2k,Au/gen#bli/ck
aɔ1s#dʁʊ2k,Au/s#dru/ck
a1p#ʃnɪ2t,A/b#schni/tt
a1p#vaɛ2çn,a/b#wei/chen
ɐ2fɔ1ʁdɐ0n,er/fo/rder/n
aɛ1nɪ2ɡe0,ei/ni/ge/
a1ktsi2e0,A/kti/e/
a1lɡe0maɛ2n,a/llge/mei/n
a1ndə2ʁe0,a/nde/re/
a1nɡe0boː2t,A/nge/bo/t
a1n#ʁuː2f,A/n#ru/f
a1n#ʃpʁʊ2x,A/n#spru/ch
a1n#tsaː2l,A/n#zah/l
a1n#tsuː2k,A/n#zu/g
eː1ɐ0de0,E/r/de/
eː1ɐ0ste0,e/r/ste/
eː1bə2ne0,E/be/ne/
oː1tse2aː2n,O/ze/a/n
ʊ1m#tsuː2k,U/m#zu/g
aɔ2ɡŋ#blɪ1k,Au/gen#bli/ck
ɐ0faː1ʁʊ2ŋ,Er/fah/ru/ng
ɐ2ɡeː1pnɪ0s,Er/ge/bni/s
ɐ2høː1e0n,er/höh/e/n
ɐ0laɛ1çtɐ0n,er/lei/chter/n
be0veː1ɡʊ0ŋ,Be/we/gu/ng
foː1ɐ0ʃtɛ2ln,vo/r/ste/llen
fʊ1tɐ0mɪ2tl,Fu/tter/mi/ttel
fɐ0loː1ʁe0n,ver/lo/re/n
fleː1dɐ0maɔ0s,Fle/der/mau/s
fluː1k#tsɔœ2k,Flu/g#zeu/g
fɔ2ʁmu0laː1ʁ,Fo/rmu/la/r
ɡə2ʃɪ1çte0,Ge/schi/chte/
ɡlaɛ1ç#zɛ2tsn,glei/ch#se/tzen
ɪ2ndʊ0stʁiː1,I/ndu/strie/
kɔ1stn#loː2s,ko/sten#lo/s
ka0ʁa1ktɐ0,Cha/ra/kter/
ko2lo0niː1,Ko/lo/nie/
kɔ2nti0nɛ1nt,Ko/nti/ne/nt
kɔ2ntʁɔ1le0,Ko/ntro/lle/
la1st#vaː2ɡŋ,La/st#wa/gen
leː1bms#mɪ2tl,Le/bens#mi/ttel
maː1s#ʃtaː2p,Ma/ß#sta/b
me2lo0diː1,Me/lo/die/
mo0le0kyː1l,Mo/le/kü/l
mo2toː1ɐ0,Mo/to/r/
na0tsi0oː1n,Na/ti/o/n
ɔ0p#voː1l,o/b#woh/l
pɪ2stoː1le0,Pi/sto/le/
ʊ2ntɐ2la1sn,u/nter/la/ssen
vaː1ʁʃaɛ2nlɪ0ç,wah/rschei/nli/ch
zaɔ1ɐ0ʃtɔ2f,Sau/er/sto/ff
zɛ1lt#zaː2m,se/lt#sa/m
be0oː1ba2xtn,be/o/ba/chten
bə2ɡaɛ1stɐ0n,be/gei/ster/n
be0ʁyː1ʁe0n,be/rüh/re/n
de2tsi0maː1l,de/zi/ma/l
e2lɛ1ktʁɪ2ʃ,e/le/ktri/sch
e2nɛ0ʁɡiː1,E/ne/rgie/
ɛ2nt#ha1ltn,e/nt#ha/lten
ɛ2nt#vɪ1kln,e/nt#wi/ckeln
ɛ2nt#vʊ1ʁf,E/nt#wu/rf
foː1ɐ0ʃlaː2ɡŋ,vo/r/schla/gen
foː1ɐ0tʁaː2k,Vo/r/tra/g
foː1ɐ0vɛ2ʁts,vo/r/wä/rts
fɐ2bʁaɛ1tʊ0ŋ,Ver/brei/tu/ng
fi2naː1le0,Fi/na/le/
foː1ɐ0ha1ndn,vo/r/ha/nden
ɡeː1ɡŋ#taɛ2l,Ge/gen#tei/l
ɡə2boː1ʁe0n,ge/bo/re/n
ɡə2fa1ŋe0n,ge/fa/nge/n
ɡə2ʁaː1de0,ge/ra/de/
ɡə2vɪ1ne0n,ge/wi/nne/n
haɔ1pt#ʃta2t,Hau/pt#sta/dt
hɪ1n#vaɛ2s,Hi/n#wei/s
ɪ2nstʁu0mɛ1nt,I/nstru/me/nt
kɔ1nti0nɛ2nt,Ko/nti/ne/nt
ka2pi0tɛː1n,Ka/pi/tä/n
kɔ2nzo0na1nt,Ko/nso/na/nt
kʁa2va1te0,Kra/wa/tte/
kvo2tsi0ɛ1nt,Quo/ti/e/nt
liː1ni2e0,Li/ni/e/
ma1n#ʃa2ft,Ma/nn#scha/ft
meː1ʁe0ʁe0,meh/re/re/
møː1k#lɪ0ç,mö/g#li/ch
moː1toː2ɐ0,Mo/to/r/
ma2ʃiː1ne0,Ma/schi/ne/
mi2nuː1te0,Mi/nu/te/
mɪ2li0oː1n,Mi/lli/o/n
na1x#baː2ʁ,Na/ch#ba/r
na2tuː1ɐ0,Na/tu/r/
pa2piː1ɐ0,Pa/pie/r/
pa2siː1ʁe0n,pa/ssie/re/n
ʁe2ɡiː1ʁe0n,re/gie/re/n
ʁe2ɡi0oː1n,Re/gi/o/n
ʃøː1n#haɛ2t,Schö/n#hei/t
ʃtuː1di2e0,Stu/di/e/
ʃta2tsi0oː1n,Sta/ti/o/n
ta2bɛ1le0,Ta/be/lle/
tsuː2haɔ1ze0,Zu/hau/se/
tsuː2za1me0n,zu/sa/mme/n
tsva1n#tsɪ0ç,zwa/n#zi/g
viː1de0ʁʊ0m,wie/de/ru/m
vɪ1sn#ʃa2ft,Wi/ssen#scha/ft
vœ1ʁtɐ0buː2x,Wö/rter/bu/ch
a1p#hɛ2ŋe0n,a/b#hä/nge/n
ɐ2fɔ1ʁdɐ0lɪ2ç,er/fo/rder/li/ch
a1n#kɔ2me0n,a/n#ko/mme/n
a1n#laː2ɡe0,A/n#la/ge/
a1p#bɪ2ldʊ0ŋ,A/b#bi/ldu/ng
ɛ1ltɐ2n#taɛ2l,E/lter/n#tei/l
ɛ1nt#veː2dɐ0,e/nt#we/der/
oː1bɐ0flɛ2çe0,O/ber/flä/che/
uː1ɐ0za2xe0,U/r/sa/che/
a2ʁa0ŋʒiː1ʁe0n,a/rra/ngie/re/n
a0ʁɑ̃2ʒiː1ʁe0n,a/rra/ngie/re/n
bə2ɡʏ1nstɪ0ɡe0n,be/gü/nsti/ge/n
be0zɔ1nde0ʁe0,be/so/nde/re/
ɛ0nt#veː1dɐ0,e/nt#we/der/
fa0miː1li0e0,Fa/mi/li/e/
fɐ2ɛ1nde0ʁʊ0ŋ,Ver/ä/nde/ru/ng
flʏ1sɪ0ç#kaɛ2t,Flü/ssi/g#kei/t
ʝaː2ʁ#hʊ1ndɐ0t,Jah/r#hu/nder/t
ma0te2ʁi0aː1l,Ma/te/ri/a/l
na0tyː1ɐ0lɪ0ç,na/tü/r/li/ch
pa0ʁti0tuː1ɐ0,Pa/rti/tu/r/
