æbəhəlimə:abohalima;æ:a,bə:bo,hə:ha,li:li,mə:ma;~æ~ə~ə~i~ə~
æksɛs:access;æ:a,ksɛ:cce,s:ss;~æ~ɛ~1,~
ækt:act;æ:a,kt:ct;~æ~1,~
æktɪv:active;æ:a,ktɪ:cti,v:ve;~æ~ɪ~2,~
æktəɹ:actor;æ:a,ktə:cto,ɹ:r;~æ~ə~1,~
æktʃuəlɪ:actually;æ:a,ktʃu:ctu,ə:a,lɪ:lly;~æ~u~ə~ɪ~
æktɹəs:actress;æ:a,ktɹə:ctre,s:ss;~æ~ə~1,~
æktʃəwəl:actual;æ:a,ktʃə:ctu,wə:a,l:l;~æ~ə~ə~1,~
æktʃʊwəl:actual;æ:a,ktʃʊ:ctu,wə:a,l:l;~æ~ʊ~ə~1,~
ækʃən:action;æ:a,kʃə:ctio,n:n;~æ~ə~1,~
ælbəm:album;æ:a,lbə:lbu,m:m;~æ~ə~1,~
ælbəɹn:albern;æ:a,lbə:lbe,ɹn:rn;~æ~ə~1,~
ælfə:alpha;æ:a,lfə:lpha;~æ~ə~
ælfəbɛt:alphabet;æ:a,lfə:lpha,bɛ:be,t:t;~æ~ə~ɛ~1,~
ælkəhɑl:alcohol;æ:a,lkə:lco,hɑ:ho,l:l;~æ~ə~ɑ~1,~
æm:am;æ:a,m:m;~æ~1,~
æmɹə:amre;æ:a,mɹə:mre;~æ~ə~
æn:an;æ:a,n:n;~æ~1,~
ænd:and;æ:a,nd:nd;~æ~1,~
ænsəɹ:answer;æ:a,nsə:nswe,ɹ:r;~æ~ə~1,~
ænt:ant;æ:a,nt:nt;~æ~1,~
ænt:aunt;æ:au,nt:nt;~æ~1,~
ænyuəl:annual;æ:a,nyu:nnu,ə:a,l:l;~æ~u~ə~2,~
ænəməl:animal;æ:a,nə:ni,mə:ma,l:l;~æ~ə~ə~1,~
ænəməlz:animals;æ:a,nə:ni,mə:ma,lz:ls;~æ~ə~ə~1,~
æpl:apple;æ:a,pl:pple;~æ~1,~
æplz:apples;æ:a,plz:pples;~æ~1,~
æplɪŋ:appling;æ:a,plɪ:ppli,ŋ:ng;~æ~ɪ~1,~
æpəɹtʃəɹ:aperture;æ:a,pə:pe,ɹtʃə:rtu,ɹ:re;~æ~ə~ə~1,~
æsk:ask;æ:a,sk:sk;~æ~2,~
æskt:asked;æ:a,skt:sked;~æ~1,~
æskɪŋ:asking;æ:a,skɪ:ski,ŋ:ng;~æ~ɪ~1,~
æsɪd:acid;æ:a,sɪ:ci,d:d;~æ~ɪ~1,~
æt:at;æ:a,t:t;~æ~2,~
ætəm:atom;æ:a,tə:to,m:m;~æ~ə~1,~
ævənu:avenue;æ:a,və:ve,nu:nue;~æ~ə~u~
ævɛɹɪdʒ:average;æ:a,vɛ:ve,ɹɪ:ra,dʒ:ge;~æ~ɛ~ɪ~1,~
awəɹz:ours;a:ou,wə:r,ɹz:s;~a~ə~1,~
awəɹɡlæsɪz:hourglasses;a:hou,wə:r,ɹɡlæ:gla,sɪ:sse,z:s;~a~ə~æ~ɪ~1,~
æz:as;æ:a,z:s;~æ~2,~
æʃ:ash;æ:a,ʃ:sh;~æ~1,~
æŋkl:ankle;æ:a,ŋkl:nkle;~æ~1,~
æŋkʃəs:anxious;æ:a,ŋkʃə:nxiou,s:s;~æ~ə~1,~
æʃlaɪn:ashline;æ:a,ʃlaɪ:shli,n:ne;~æ~aɪ~1,~
æŋɡl:angle;æ:a,ŋɡl:ngle;~æ~1,~
æɹəʊ:arrow;æ:a,ɹəʊ:rrow;~æ~əʊ~
æɡɹɪkʌltʃəɹ:agriculture;æ:a,ɡɹɪ:gri,kʌ:cu,ltʃə:ltu,ɹ:re;~æ~ɪ~ʌ~ə~1,~
æŋɡəɹ:anger;æ:a,ŋɡə:nge,ɹ:r;~æ~ə~1,~
æŋɡɹɪ:angry;æ:a,ŋɡɹɪ:ngry;~æ~ɪ~
æbsəlutlɪ:absolutely;æ:a,bsə:bso,lu:lu,tlɪ:tely;~æ~ə~u~ɪ~
ædməɹeɪʃən:admiration;æ:a,dmə:dmi,ɹeɪ:ra,ʃə:tio,n:n;~æ~ə~eɪ~ə~1,~
æftəɹnun:afternoon;æ:a,ftə:fte,ɹ:r,nu:noo,n:n;~æ~ə~1,~u~1,~
æluvɪəm:alluvium;æ:a,lu:llu,vɪ:vi,ə:u,m:m;~æ~u~ɪ~ə~1,~
æntifʌŋɡəl:antifungal;æ:a,nti:nti,fʌ:fu,ŋɡə:nga,l:l;~æ~i~ʌ~ə~1,~
æpləkeɪʃən:application;æ:a,plə:ppli,keɪ:ca,ʃə:tio,n:n;~æ~ə~eɪ~ə~2,~
æpləkeɪʃənz:applications;æ:a,plə:ppli,keɪ:ca,ʃə:tio,nz:ns;~æ~ə~eɪ~ə~2,~
æpəɹætəs:apparatus;æ:a,pə:ppa,ɹæ:ra,tə:tu,s:s;~æ~ə~æ~ə~1,~
aɪdiə:idea;aɪ:i,di:de,ə:a;~aɪ~i~ə~
aɪdiəz:ideas;aɪ:i,di:de,ə:a,z:s;~aɪ~i~ə~1,~
aɪdɛntəfaɪ:identify;aɪ:i,dɛ:de,ntə:nti,faɪ:fy;~aɪ~ɛ~ə~aɪ~
aɪdɪəl:ideal;aɪ:i,dɪ:de,ə:a,l:l;~aɪ~ɪ~ə~1,~
aʊtɹeɪdʒəs:outrageous;aʊ:ou,t:t,ɹeɪ:ra,dʒə:geou,s:s;~aʊ~1,~eɪ~ə~1,~
aɪtɪnəɹɛɹɪz:itineraries;aɪ:i,tɪ:ti,nə:ne,ɹɛ:ra,ɹɪ:rie,z:s;~aɪ~ɪ~ə~ɛ~ɪ~1,~
aʊəɹsɛlvz:ourselves;aʊ:ou,ə:r,ɹ:,sɛ:se,lvz:lves;~aʊ~ə~1,~ɛ~1,~
aɪ:eye;aɪ:eye;~aɪ~
aɪ:i;aɪ:i;~aɪ~
aɪdl:idle;aɪ:i,dl:dle;~aɪ~1,~
aɪlənd:island;aɪ:i,lə:sla,nd:nd;~aɪ~ə~2,~
aɪləndz:islands;aɪ:i,lə:sla,ndz:nds;~aɪ~ə~1,~
aɪlɪts:islets;aɪ:i,lɪ:sle,ts:ts;~aɪ~ɪ~1,~
aɪlɪd:eyelid;aɪ:eye,lɪ:li,d:d;~aɪ~ɪ~1,~
aɪm:i'm;aɪ:i,m:'m;~aɪ~1,~
aʊns:ounce;aʊ:ou,ns:nce;~aʊ~1,~
aʊnsɪz:ounces;aʊ:ou,nsɪ:nce,z:s;~aʊ~ɪ~1,~
aɪs:ice;aɪ:i,s:ce;~aɪ~1,~
aɪsɪ:icy;aɪ:i,sɪ:cy;~aɪ~ɪ~
aɪsəl:eisel;aɪ:ei,sə:se,l:l;~aɪ~ə~1,~
aʊtdɔɹz:outdoors;aʊ:ou,t:t,dɔ:doo,ɹz:rs;~aʊ~1,~ɔ~1,~
aʊtdɔɹ:outdoor;aʊ:ou,t:t,dɔ:doo,ɹ:r;~aʊ~1,~ɔ~1,~
aʊtsaɪd:outside;aʊ:ou,t:t,saɪ:si,d:de;~aʊ~1,~aɪ~1,~
aʊtwəɹd:outward;aʊ:ou,t:t,wə:wa,ɹd:rd;~aʊ~1,~ə~1,~
aʊt:out;aʊ:ou,t:t;~aʊ~1,~
aʊtlaɪn:outline;aʊ:ou,tlaɪ:tli,n:ne;~aʊ~aɪ~1,~
aʊtʃ:ouch;aʊ:ou,tʃ:ch;~aʊ~1,~
aɪtəm:item;aɪ:i,tə:te,m:m;~aɪ~ə~1,~
aʊtəɹ:outer;aʊ:ou,tə:te,ɹ:r;~aʊ~ə~1,~
aɪv:i've;aɪ:i,v:'ve;~aɪ~1,~
aɪz:eyes;aɪ:eye,z:s;~aɪ~1,~
aɪzənbəɹɡ:isenberg;aɪ:i,zə:se,nbə:nbe,ɹɡ:rg;~aɪ~ə~ə~1,~
aɪəmz:iams;aɪ:i,ə:a,mz:ms;~aɪ~ə~1,~
aɪən:iron;aɪ:i,ə:ro,n:n;~aɪ~ə~1,~
aʊəɹ:hour;aʊ:hou,ə:r;~aʊ~ə~1,~
aʊəɹ:our;aʊ:ou,ə:r;~aʊ~ə~1,~
aʊəɹz:hours;aʊ:hou,ə:r,ɹz:s;~aʊ~ə~1,~
aʊɹlɪ:hourly;aʊ:hou,ɹlɪ:rly;~aʊ~ɪ~
aɪəʊs:ios;aɪ:i,əʊ:o,s:s;~aɪ~əʊ~1,~
aɪdɪɑlədʒəst:ideologist;aɪ:i,dɪ:de,ɑ:o,lə:lo,dʒə:gi,st:st;~aɪ~ɪ~ɑ~ə~ə~1,~
aɪslændɛə:icelandair;aɪ:i,s:ce,læ:la,ndɛ:ndai,ə:r;~aɪ~1,~æ~ɛ~ə~
bæktiɹɪə:bacteria;bæ:ba,kti:cte,ɹɪ:ri,ə:a;~æ~i~ɪ~ə~
bæd:bad;bæ:ba,d:d;~æ~1,~
bædnəs:badness;bæ:ba,d:d,nə:ne,s:ss;~æ~1,~ə~1,~
bækslæpɪŋ:backslapping;bæ:ba,k:ck,slæ:sla,pɪ:ppi,ŋ:ng;~æ~1,~æ~ɪ~1,~
bækwəɹd:backward;bæ:ba,k:ck,wə:wa,ɹd:rd;~æ~1,~ə~1,~
bækwəɹdz:backwards;bæ:ba,k:ck,wə:wa,ɹdz:rds;~æ~1,~ə~1,~
bækɡɹaʊnd:background;bæ:ba,k:ck,ɡɹaʊ:grou,nd:nd;~æ~1,~aʊ~1,~
bæk:back;bæ:ba,k:ck;~æ~2,~
bæləns:balance;bæ:ba,lə:la,ns:nce;~æ~ə~1,~
bænd:band;bæ:ba,nd:nd;~æ~2,~
bænəstəɹ:bannister;bæ:ba,nə:nni,stə:ste,ɹ:r;~æ~ə~ə~1,~
bænɪʃmənt:banishment;bæ:ba,nɪ:ni,ʃ:sh,mə:me,nt:nt;~æ~ɪ~1,~ə~1,~
bæskɛt:basket;bæ:ba,skɛ:ske,t:t;~æ~ɛ~1,~
bætl:battle;bæ:ba,tl:ttle;~æ~1,~
bæɡ:bag;bæ:ba,ɡ:g;~æ~1,~
bæθ:bath;bæ:ba,θ:th;~æ~1,~
bæŋk:bank;bæ:ba,ŋk:nk;~æ~2,~
bæɡɪdʒ:baggage;bæ:ba,ɡɪ:gga,dʒ:ge;~æ~ɪ~1,~
bæɹəl:barrel;bæ:ba,ɹə:rre,l:l;~æ~ə~1,~
bæɹən:barren;bæ:ba,ɹə:rre,n:n;~æ~ə~1,~
bæɹɪɡəɹ:barriger;bæ:ba,ɹɪ:rri,ɡə:ge,ɹ:r;~æ~ɪ~ə~1,~
bæŋkəmɛɹɪkə:bankamerica;bæ:ba,ŋk:nk,ə:a,mɛ:me,ɹɪ:ri,kə:ca;~æ~1,~ə~ɛ~ɪ~ə~
baɪæksɪəl:biaxial;baɪ:bi,æ:a,ksɪ:xi,ə:a,l:l;~aɪ~æ~ɪ~ə~1,~
baɪɑlədʒɪ:biology;baɪ:bi,ɑ:o,lə:lo,dʒɪ:gy;~aɪ~ɑ~ə~ɪ~
baʊ:bow;baʊ:bow;~aʊ~
baɪ:buy;baɪ:buy;~aɪ~
baɪ:by;baɪ:by;~aɪ~
baɪnd:bind;baɪ:bi,nd:nd;~aɪ~1,~
baʊnd:bound;baʊ:bou,nd:nd;~aʊ~1,~
baʊndəɹɪ:boundary;baʊ:bou,ndə:nda,ɹɪ:ry;~aʊ~ə~ɪ~
baɪsɪkəl:bicycle;baɪ:bi,sɪ:cy,kə:c,l:le;~aɪ~ɪ~ə~1,~
baɪt:bite;baɪ:bi,t:te;~aɪ~1,~
baɪtləɹ:beitler;baɪ:bei,tlə:tle,ɹ:r;~aɪ~ə~1,~
baʊəlz:bowels;baʊ:bow,ə:e,lz:ls;~aʊ~ə~1,~
baɪpoʊləɹ:bipolar;baɪ:bi,poʊ:po,lə:la,ɹ:r;~aɪ~oʊ~ə~1,~
beɪ:bay;beɪ:bay;~eɪ~
beɪ:bayh;beɪ:bay,_:h;~eɪ~
beɪbɪ:baby;beɪ:ba,bɪ:by;~eɪ~ɪ~
beɪk:bake;beɪ:ba,k:ke;~eɪ~1,~
beɪlvə:belva;beɪ:be,lvə:lva;~eɪ~ə~
beɪs:base;beɪ:ba,s:se;~eɪ~2,~
beɪst:based;beɪ:ba,st:sed;~eɪ~2,~
beɪsɪk:basic;beɪ:ba,sɪ:si,k:c;~eɪ~ɪ~1,~
beɪsɪkəlɪ:basically;beɪ:ba,sɪ:si,kə:ca,lɪ:lly;~eɪ~ɪ~ə~ɪ~
beɪsɪn:basin;beɪ:ba,sɪ:si,n:n;~eɪ~ɪ~1,~
beɪsɪnz:basins;beɪ:ba,sɪ:si,nz:ns;~eɪ~ɪ~1,~
beɪsɪs:basis;beɪ:ba,sɪ:si,s:s;~eɪ~ɪ~1,~
beɪsɪɹ:baser;beɪ:ba,sɪ:se,ɹ:r;~eɪ~ɪ~1,~
beɪð:bathe;beɪ:ba,ð:the;~eɪ~1,~
beɪðɪŋ:bathing;beɪ:ba,ðɪ:thi,ŋ:ng;~eɪ~ɪ~1,~
beɪʒ:beige;beɪ:bei,ʒ:ge;~eɪ~1,~
beɪənɛts:bayonets;beɪ:ba,ə:yo,nɛ:ne,ts:ts;~eɪ~ə~ɛ~1,~
bi:be;bi:be;~i~
bi:bee;bi:bee;~i~
bik:beak;bi:bea,k:k;~i~1,~
bim:beam;bi:bea,m:m;~i~1,~
bin:bean;bi:bea,n:n;~i~1,~
bist:beast;bi:bea,st:st;~i~1,~
bit:beat;bi:bea,t:t;~i~1,~
bitl:beatle;bi:bea,tl:tle;~i~1,~
bitɔvɛn:beethoven;bi:bee,tɔ:tho,vɛ:ve,n:n;~i~ɔ~ɛ~1,~
biɪŋ:being;bi:be,ɪ:i,ŋ:ng;~i~ɪ~1,~
blæk:black;blæ:bla,k:ck;~æ~1,~
blækhəm:blackham;blæ:bla,khə:ckha,m:m;~æ~ə~1,~
blæst:blast;blæ:bla,st:st;~æ~1,~
blaɪndsaɪdɪd:blindsided;blaɪ:bli,nd:nd,saɪ:si,dɪ:de,d:d;~aɪ~1,~aɪ~ɪ~1,~
blaɪnd:blind;blaɪ:bli,nd:nd;~aɪ~1,~
bleɪd:blade;bleɪ:bla,d:de;~eɪ~1,~
bleɪm:blame;bleɪ:bla,m:me;~eɪ~1,~
blid:bleed;bli:blee,d:d;~i~1,~
blim:bleam;bli:blea,m:m;~i~1,~
bloʊ:blow;bloʊ:blow;~oʊ~
blu:blue;blu:blue;~u~
blumənθɔl:blumenthal;blu:blu,mə:me,n:n,θɔ:tha,l:l;~u~ə~1,~ɔ~1,~
bluθ:bluth;blu:blu,θ:th;~u~1,~
blʌd:blood;blʌ:bloo,d:d;~ʌ~1,~
blɑk:block;blɑ:blo,k:ck;~ɑ~1,~
blɛs:bless;blɛ:ble,s:ss;~ɛ~1,~
blɔɪəɹ:bloyer;blɔɪ:bloy,ə:e,ɹ:r;~ɔɪ~ə~1,~
boʊæz:boaz;boʊ:bo,æ:a,z:z;~oʊ~æ~1,~
boʊdɪ:bodey;boʊ:bo,dɪ:dey;~oʊ~ɪ~
boʊl:bowl;boʊ:bow,l:l;~oʊ~1,~
boʊld:bold;boʊ:bo,ld:ld;~oʊ~1,~
boʊlt:boldt;boʊ:bo,lt:ldt;~oʊ~1,~
boʊn:bone;boʊ:bo,n:ne;~oʊ~1,~
boʊst:boast;boʊ:boa,st:st;~oʊ~1,~
boʊt:boat;boʊ:boa,t:t;~oʊ~1,~
boʊθ:both;boʊ:bo,θ:th;~oʊ~1,~
bun:boone;bu:boo,n:ne;~u~1,~
but:boot;bu:boo,t:t;~u~1,~
byutɪ:beauty;byu:beau,tɪ:ty;~u~ɪ~
byutɪfəl:beautiful;byu:beau,tɪ:ti,fə:fu,l:l;~u~ɪ~ə~1,~
byuɡlz:bugles;byu:bu,ɡlz:gles;~u~1,~
byɜɹk:bjerke;byɜ:bje,ɹk:rke;~ɜ~1,~
bɪfɔɹ:before;bɪ:be,fɔ:fo,ɹ:re;~ɪ~ɔ~2,~
bɪhaɪnd:behind;bɪ:be,haɪ:hi,nd:nd;~ɪ~aɪ~1,~
bɪheɪv:behave;bɪ:be,heɪ:ha,v:ve;~ɪ~eɪ~1,~
bɪheɪvyəɹ:behavior;bɪ:be,heɪ:ha,vyə:vio,ɹ:r;~ɪ~eɪ~ə~1,~
bɪkeɪm:became;bɪ:be,keɪ:ca,m:me;~ɪ~eɪ~1,~
bɪkʌm:become;bɪ:be,kʌ:co,m:me;~ɪ~ʌ~2,~
bɪkʌmz:becomes;bɪ:be,kʌ:co,mz:mes;~ɪ~ʌ~1,~
bɪkɛt:bequette;bɪ:be,kɛ:que,t:tte;~ɪ~ɛ~1,~
bɪkɔz:because;bɪ:be,kɔ:cau,z:se;~ɪ~ɔ~2,~
bɪlaɪɪŋ:belying;bɪ:be,laɪ:ly,ɪ:i,ŋ:ng;~ɪ~aɪ~ɪ~1,~
bɪlif:belief;bɪ:be,li:lie,f:f;~ɪ~i~1,~
bɪliv:believe;bɪ:be,li:lie,v:ve;~ɪ~i~1,~
bɪloʊ:below;bɪ:be,loʊ:low;~ɪ~oʊ~
bɪlɔŋ:belong;bɪ:be,lɔ:lo,ŋ:ng;~ɪ~ɔ~1,~
bənænə:banana;bə:ba,næ:na,nə:na;~ə~æ~ə~
bɪniθ:beneath;bɪ:be,ni:nea,θ:th;~ɪ~i~1,~
bɪsaɪd:beside;bɪ:be,saɪ:si,d:de;~ɪ~aɪ~1,~
bɪsaɪdz:besides;bɪ:be,saɪ:si,dz:des;~ɪ~aɪ~1,~
bɪtwin:between;bɪ:be,twi:twee,n:n;~ɪ~i~2,~
bɪyɑnd:beyond;bɪ:be,yɑ:yo,nd:nd;~ɪ~ɑ~1,~
bɪɡæn:began;bɪ:be,ɡæ:ga,n:n;~ɪ~æ~1,~
bɪɡɪn:begin;bɪ:be,ɡɪ:gi,n:n;~ɪ~ɪ~1,~
bɪɡɪnɪŋ:beginning;bɪ:be,ɡɪ:gi,nɪ:nni,ŋ:ng;~ɪ~ɪ~ɪ~1,~
bɛdɹum:bedroom;bɛ:be,d:d,ɹu:roo,m:m;~ɛ~1,~u~1,~
bɛd:bed;bɛ:be,d:d;~ɛ~1,~
bɛduɪnz:bedouins;bɛ:be,du:dou,ɪ:i,nz:ns;~ɛ~u~ɪ~1,~
bɑdɪ:body;bɑ:bo,dɪ:dy;~ɑ~ɪ~
bʌdʒɪtəd:budgeted;bʌ:bu,dʒɪ:dge,tə:te,d:d;~ʌ~ɪ~ə~1,~
bʊk:book;bʊ:boo,k:k;~ʊ~2,~
bɑks:box;bɑ:bo,ks:x;~ɑ~1,~
bʊks:books;bʊ:boo,ks:ks;~ʊ~1,~
bʌkvt:bucket;bʌ:bu,kv:cke,t:t;~ʌ~1,~1,~
bʊkəɹz:booker's;bʊ:boo,kə:ke,ɹz:r's;~ʊ~ə~1,~
bʊlfaɪtəɹ:bullfighter;bʊ:bu,l:ll,faɪ:fi,tə:ghte,ɹ:r;~ʊ~1,~aɪ~ə~1,~
bɔl:ball;bɔ:ba,l:ll;~ɔ~1,~
bɛl:bell;bɛ:be,l:ll;~ɛ~1,~
bɪl:bill;bɪ:bi,l:ll;~ɪ~2,~
bɪld:build;bɪ:bui,ld:ld;~ɪ~1,~
bʊldoʊz:bulldoze;bʊ:bu,ldoʊ:lldo,z:ze;~ʊ~oʊ~1,~
bɪldɪŋ:building;bɪ:bui,ldɪ:ldi,ŋ:ng;~ɪ~ɪ~1,~
bɛlt:belt;bɛ:be,lt:lt;~ɛ~1,~
bɪlt:built;bɪ:bui,lt:lt;~ɪ~1,~
bʊlət:bullet;bʊ:bu,lə:lle,t:t;~ʊ~ə~1,~
bɪlɪən:billion;bɪ:bi,lɪ:lli,ə:o,n:n;~ɪ~ɪ~ə~1,~
bɛləʊz:bellows;bɛ:be,ləʊ:llow,z:s;~ɛ~əʊ~1,~
bɑm:bomb;bɑ:bo,m:mb;~ɑ~1,~
bʌmz:bums;bʌ:bu,mz:ms;~ʌ~1,~
bɪn:been;bɪ:bee,n:n;~ɪ~1,~
bɛnd:bend;bɛ:be,nd:nd;~ɛ~1,~
bʌndl:bundle;bʌ:bu,ndl:ndle;~ʌ~2,~
bʌntʃ:bunch;bʌ:bu,ntʃ:nch;~ʌ~1,~
bɛnəfɪt:benefit;bɛ:be,nə:ne,fɪ:fi,t:t;~ɛ~ə~ɪ~1,~
bɛnəfɪts:benefits;bɛ:be,nə:ne,fɪ:fi,ts:ts;~ɛ~ə~ɪ~2,~
bɪnəm:bynum;bɪ:by,nə:nu,m:m;~ɪ~ə~1,~
bʌs:bus;bʌ:bu,s:s;~ʌ~1,~
bɛst:best;bɛ:be,st:st;~ɛ~1,~
bɪt:bit;bɪ:bi,t:t;~ɪ~1,~
bʌt:but;bʌ:bu,t:t;~ʌ~1,~
bɑtl:bottle;bɑ:bo,tl:ttle;~ɑ~1,~
bɑtəm:bottom;bɑ:bo,tə:tto,m:m;~ɑ~ə~1,~
bʌtən:button;bʌ:bu,tə:tto,n:n;~ʌ~ə~1,~
bɛtəɹ:better;bɛ:be,tə:tte,ɹ:r;~ɛ~ə~1,~
bɪtəɹ:bitter;bɪ:bi,tə:tte,ɹ:r;~ɪ~ə~1,~
bʌtəɹ:butter;bʌ:bu,tə:tte,ɹ:r;~ʌ~ə~1,~
bʌtəɹɪks:butterick's;bʌ:bu,tə:tte,ɹɪ:ri,ks:ck's;~ʌ~ə~ɪ~1,~
bɪznɪslaɪk:businesslike;bɪ:bu,znɪ:sine,s:ss,laɪ:li,k:ke;~ɪ~ɪ~1,~aɪ~1,~
bɪznəsmæn:businessman;bɪ:bu,znə:sine,s:ss,mæ:ma,n:n;~ɪ~ə~1,~æ~1,~
bɪzɪ:busy;bɪ:bu,zɪ:sy;~ɪ~ɪ~
bɪzɪnɛslaɪk:businesslike;bɪ:bu,zɪ:si,nɛ:ne,s:ss,laɪ:li,k:ke;~ɪ~ɪ~ɛ~1,~aɪ~1,~
bɪzɪnɛsmæn:businessman;bɪ:bu,zɪ:si,nɛ:ne,s:ss,mæ:ma,n:n;~ɪ~ɪ~ɛ~1,~æ~1,~
bɪzɪnəs:business;bɪ:bu,zɪ:si,nə:ne,s:ss;~ɪ~ɪ~ə~1,~
bɑɹ:bar;bɑ:ba,ɹ:r;~ɑ~1,~
bɛɡ:beg;bɛ:be,ɡ:g;~ɛ~1,~
bɛθ:beth;bɛ:be,θ:th;~ɛ~1,~
bɪɡ:big;bɪ:bi,ɡ:g;~ɪ~2,~
bʊʃ:bush;bʊ:bu,ʃ:sh;~ʊ~1,~
bɛə:bare;bɛ:ba,ə:re;~ɛ~ə~
bɛə:bear;bɛ:bea,ə:r;~ɛ~ə~
bɪə:beer;bɪ:bee,ə:r;~ɪ~ə~
bɑɹbəɹ:barber;bɑ:ba,ɹbə:rbe,ɹ:r;~ɑ~ə~1,~
bɪɹd:beard;bɪ:bea,ɹd:rd;~ɪ~1,~
bɜɹd:bird;bɜ:bi,ɹd:rd;~ɜ~1,~
bɔɹd:board;bɔ:boa,ɹd:rd;~ɔ~2,~
bʌɡd:bugged;bʌ:bu,ɡd:gged;~ʌ~1,~
bɜɹdɪ:birdy;bɜ:bi,ɹdɪ:rdy;~ɜ~ɪ~
bɔɹdəɹ:border;bɔ:bo,ɹdə:rde,ɹ:r;~ɔ~ə~1,~
bɑɹkəʊz:barco's;bɑ:ba,ɹkəʊ:rco,z:'s;~ɑ~əʊ~1,~
bɜɹlæk:berlack;bɜ:be,ɹlæ:rla,k:ck;~ɜ~æ~1,~
bɔɹn:born;bɔ:bo,ɹn:rn;~ɔ~1,~
bɜɹn:burn;bɜ:bu,ɹn:rn;~ɜ~1,~
bɜɹntsən:berntsen;bɜ:be,ɹnt:rnt,sə:se,n:n;~ɜ~1,~ə~1,~
bɜɹnz:byrne's;bɜ:by,ɹnz:rne's;~ɜ~1,~
bɑɹnɪkəl:barnicle;bɑ:ba,ɹnɪ:rni,kə:c,l:le;~ɑ~ɪ~ə~1,~
bɑɹnɪʃ:barnish;bɑ:ba,ɹnɪ:rni,ʃ:sh;~ɑ~ɪ~1,~
