æbəhəlimə:abohalima;:,æb:ab,əh:oh,əl:al,im:im,ə:a;~~æ~ə~ə~i~ə~
aɪdiə:idea;:,aɪd:id,i:e,ə:a;~~aɪ~i~ə~
aɪdiəz:ideas;:,aɪd:id,i:e,əz:as;~~aɪ~i~ə~
aɪdɛntəfaɪ:identify;:,aɪd:id,ɛnt:ent,əf:if,aɪ:y;~~aɪ~ɛ~ə~aɪ~
aɪdɪəl:ideal;:,aɪd:id,ɪ:e,əl:al;~~aɪ~ɪ~ə~
aʊtɹeɪdʒəs:outrageous;:,aʊt:out,ɹ:r,eɪdʒ:ag,əs:eous;~~aʊ~~eɪ~ə~
aɪtɪnəɹɛɹɪz:itineraries;:,aɪt:it,ɪn:in,əɹ:er,ɛɹ:ar,ɪz:ies;~~aɪ~ɪ~ə~ɛ~ɪ~
aʊəɹsɛlvz:ourselves;:,aʊ:ou,əɹ:r,s:s,ɛlvz:elves;~~aʊ~ə~~ɛ~
aɪ:eye;:,aɪ:eye;~~aɪ~
aɪ:i;:,aɪ:i;~~aɪ~
aɪdl:idle;:,aɪdl:idle;~~aɪ~
aɪlənd:island;:,aɪl:isl,ənd:and;~~aɪ~ə~
aɪləndz:islands;:,aɪl:isl,əndz:ands;~~aɪ~ə~
aɪlɪts:islets;:,aɪl:isl,ɪts:ets;~~aɪ~ɪ~
aɪlɪd:eyelid;:,aɪl:eyel,ɪd:id;~~aɪ~ɪ~
aɪm:i'm;:,aɪm:i'm;~~aɪ~
aʊns:ounce;:,aʊns:ounce;~~aʊ~
aʊnsɪz:ounces;:,aʊns:ounc,ɪz:es;~~aʊ~ɪ~
aɪs:ice;:,aɪs:ice;~~aɪ~
aɪsɪ:icy;:,aɪs:ic,ɪ:y;~~aɪ~ɪ~
aɪsəl:eisel;:,aɪs:eis,əl:el;~~aɪ~ə~
aʊtdɔɹz:outdoors;:,aʊt:out,d:d,ɔɹz:oors;~~aʊ~~ɔ~
aʊtdɔɹ:outdoor;:,aʊt:out,d:d,ɔɹ:oor;~~aʊ~~ɔ~
aʊtsaɪd:outside;:,aʊt:out,s:s,aɪd:ide;~~aʊ~~aɪ~
aʊtwəɹd:outward;:,aʊt:out,w:w,əɹd:ard;~~aʊ~~ə~
aʊt:out;:,aʊt:out;~~aʊ~
aʊtlaɪn:outline;:,aʊtl:outl,aɪn:ine;~~aʊ~aɪ~
aʊtʃ:ouch;:,aʊtʃ:ouch;~~aʊ~
aɪtəm:item;:,aɪt:it,əm:em;~~aɪ~ə~
aʊtəɹ:outer;:,aʊt:out,əɹ:er;~~aʊ~ə~
aɪv:i've;:,aɪv:i've;~~aɪ~
aɪz:eyes;:,aɪz:eyes;~~aɪ~
aɪzənbəɹɡ:isenberg;:,aɪz:is,ənb:enb,əɹɡ:erg;~~aɪ~ə~ə~
aɪəmz:iams;:,aɪ:i,əmz:ams;~~aɪ~ə~
aɪən:iron;:,aɪ:ir,ən:on;~~aɪ~ə~
aʊəɹ:hour;:h,aʊ:ou,əɹ:r;~~aʊ~ə~
aʊəɹ:our;:,aʊ:ou,əɹ:r;~~aʊ~ə~
aʊəɹz:hours;:h,aʊ:ou,əɹz:rs;~~aʊ~ə~
aʊɹlɪ:hourly;:h,aʊɹl:ourl,ɪ:y;~~aʊ~ɪ~
aɪəʊs:ios;:,aɪ:i,əʊs:os;~~aɪ~əʊ~
aɪdɪɑlədʒəst:ideologist;:,aɪd:id,ɪ:e,ɑl:ol,ədʒ:og,əst:ist;~~aɪ~ɪ~ɑ~ə~ə~
aɪslændɛə:icelandair;:,aɪs:ice,l:l,ænd:and,ɛ:ai,ə:r;~~aɪ~~æ~ɛ~ə~
bæktiɹɪə:bacteria;b:b,ækt:act,iɹ:er,ɪ:i,ə:a;~~æ~i~ɪ~ə~
bæd:bad;b:b,æd:ad;~~æ~
bædnəs:badness;b:b,æd:ad,n:n,əs:ess;~~æ~~ə~
bækslæpɪŋ:backslapping;b:b,æk:ack,sl:sl,æp:app,ɪŋ:ing;~~æ~~æ~ɪ~
bækwəɹd:backward;b:b,æk:ack,w:w,əɹd:ard;~~æ~~ə~
bækwəɹdz:backwards;b:b,æk:ack,w:w,əɹdz:ards;~~æ~~ə~
bækɡɹaʊnd:background;b:b,æk:ack,ɡɹ:gr,aʊnd:ound;~~æ~~aʊ~
bæk:back;b:b,æk:ack;~~æ~
bæləns:balance;b:b,æl:al,əns:ance;~~æ~ə~
bænd:band;b:b,ænd:and;~~æ~
bænəstəɹ:bannister;b:b,æn:ann,əst:ist,əɹ:er;~~æ~ə~ə~
bænɪʃmənt:banishment;b:b,æn:an,ɪʃ:ish,m:m,ənt:ent;~~æ~ɪ~~ə~
bæskɛt:basket;b:b,æsk:ask,ɛt:et;~~æ~ɛ~
bætl:battle;b:b,ætl:attle;~~æ~
bæɡ:bag;b:b,æɡ:ag;~~æ~
bæθ:bath;b:b,æθ:ath;~~æ~
bæŋk:bank;b:b,æŋk:ank;~~æ~
bæɡɪdʒ:baggage;b:b,æɡ:agg,ɪdʒ:age;~~æ~ɪ~
bæɹəl:barrel;b:b,æɹ:arr,əl:el;~~æ~ə~
bæɹən:barren;b:b,æɹ:arr,ən:en;~~æ~ə~
bæɹɪɡəɹ:barriger;b:b,æɹ:arr,ɪɡ:ig,əɹ:er;~~æ~ɪ~ə~
bæŋkəmɛɹɪkə:bankamerica;b:b,æŋk:ank,:,əm:am,ɛɹ:er,ɪk:ic,ə:a;~~æ~~ə~ɛ~ɪ~ə~
baɪæksɪəl:biaxial;b:bi,aɪ:,æks:ax,ɪ:i,əl:al;~~aɪ~æ~ɪ~ə~
baɪɑlədʒɪ:biology;b:b,aɪ:i,ɑl:ol,ədʒ:og,ɪ:y;~~aɪ~ɑ~ə~ɪ~
baʊ:bow;b:b,aʊ:ow;~~aʊ~
baɪ:buy;b:b,aɪ:uy;~~aɪ~
baɪ:by;b:b,aɪ:y;~~aɪ~
baɪnd:bind;b:b,aɪnd:ind;~~aɪ~
baʊnd:bound;b:b,aʊnd:ound;~~aʊ~
baʊndəɹɪ:boundary;b:b,aʊnd:ound,əɹ:ar,ɪ:y;~~aʊ~ə~ɪ~
baɪsɪkəl:bicycle;b:b,aɪs:ic,ɪk:yc,əl:le;~~aɪ~ɪ~ə~
baɪt:bite;b:b,aɪt:ite;~~aɪ~
baɪtləɹ:beitler;b:b,aɪtl:eitl,əɹ:er;~~aɪ~ə~
baʊəlz:bowels;b:b,aʊ:ow,əlz:els;~~aʊ~ə~
baɪpoʊləɹ:bipolar;b:b,aɪp:ip,oʊl:ol,əɹ:ar;~~aɪ~oʊ~ə~
beɪ:bay;b:b,eɪ:ay;~~eɪ~
beɪ:bayh;b:b,eɪ:ayh;~~eɪ~
beɪbɪ:baby;b:b,eɪb:ab,ɪ:y;~~eɪ~ɪ~
beɪk:bake;b:b,eɪk:ake;~~eɪ~
beɪlvə:belva;b:b,eɪlv:elv,ə:a;~~eɪ~ə~
beɪs:base;b:b,eɪs:ase;~~eɪ~
beɪst:based;b:b,eɪst:ased;~~eɪ~
beɪsɪk:basic;b:b,eɪs:as,ɪk:ic;~~eɪ~ɪ~
beɪsɪkəlɪ:basically;b:b,eɪs:as,ɪk:ic,əl:all,ɪ:y;~~eɪ~ɪ~ə~ɪ~
beɪsɪn:basin;b:b,eɪs:as,ɪn:in;~~eɪ~ɪ~
beɪsɪnz:basins;b:b,eɪs:as,ɪnz:ins;~~eɪ~ɪ~
beɪsɪs:basis;b:b,eɪs:as,ɪs:is;~~eɪ~ɪ~
beɪsɪɹ:baser;b:b,eɪs:as,ɪɹ:er;~~eɪ~ɪ~
beɪð:bathe;b:b,eɪð:athe;~~eɪ~
beɪðɪŋ:bathing;b:b,eɪð:ath,ɪŋ:ing;~~eɪ~ɪ~
beɪʒ:beige;b:b,eɪʒ:eige;~~eɪ~
beɪənɛts:bayonets;b:b,eɪ:ay,ən:on,ɛts:ets;~~eɪ~ə~ɛ~
bi:be;b:b,i:e;~~i~
bi:bee;b:b,i:ee;~~i~
bik:beak;b:b,ik:eak;~~i~
bim:beam;b:b,im:eam;~~i~
bin:bean;b:b,in:ean;~~i~
bist:beast;b:b,ist:east;~~i~
bit:beat;b:b,it:eat;~~i~
bitl:beatle;b:b,itl:eatle;~~i~
bitɔvɛn:beethoven;b:b,it:eeth,ɔv:ov,ɛn:en;~~i~ɔ~ɛ~
biɪŋ:being;b:b,i:e,ɪŋ:ing;~~i~ɪ~
blæk:black;bl:bl,æk:ack;~~æ~
blækhəm:blackham;bl:bl,ækh:ackh,əm:am;~~æ~ə~
blæst:blast;bl:bl,æst:ast;~~æ~
blaɪndsaɪdɪd:blindsided;bl:bl,aɪnd:ind,s:s,aɪd:id,ɪd:ed;~~aɪ~~aɪ~ɪ~
blaɪnd:blind;bl:bl,aɪnd:ind;~~aɪ~
bleɪd:blade;bl:bl,eɪd:ade;~~eɪ~
bleɪm:blame;bl:bl,eɪm:ame;~~eɪ~
blid:bleed;bl:bl,id:eed;~~i~
blim:bleam;bl:bl,im:eam;~~i~
bloʊ:blow;bl:bl,oʊ:ow;~~oʊ~
blu:blue;bl:bl,u:ue;~~u~
blumənθɔl:blumenthal;bl:bl,um:um,ən:en,θ:th,ɔl:al;~~u~ə~~ɔ~
bluθ:bluth;bl:bl,uθ:uth;~~u~
blʌd:blood;bl:bl,ʌd:ood;~~ʌ~
blɑk:block;bl:bl,ɑk:ock;~~ɑ~
blɛs:bless;bl:bl,ɛs:ess;~~ɛ~
blɔɪəɹ:bloyer;bl:bl,ɔɪ:oy,əɹ:er;~~ɔɪ~ə~
boʊæz:boaz;b:b,oʊ:o,æz:az;~~oʊ~æ~
boʊdɪ:bodey;b:b,oʊd:od,ɪ:ey;~~oʊ~ɪ~
boʊl:bowl;b:b,oʊl:owl;~~oʊ~
boʊld:bold;b:b,oʊld:old;~~oʊ~
boʊlt:boldt;b:b,oʊlt:oldt;~~oʊ~
boʊn:bone;b:b,oʊn:one;~~oʊ~
boʊst:boast;b:b,oʊst:oast;~~oʊ~
boʊt:boat;b:b,oʊt:oat;~~oʊ~
boʊθ:both;b:b,oʊθ:oth;~~oʊ~
bun:boone;b:b,un:oone;~~u~
but:boot;b:b,ut:oot;~~u~
bjutɪ:beauty;bj:b,ut:eaut,ɪ:y;~~u~ɪ~
bjutɪfəl:beautiful;bj:b,ut:eaut,ɪf:if,əl:ul;~~u~ɪ~ə~
bjuɡlz:bugles;bj:b,uɡlz:ugles;~~u~
bjɜɹk:bjerke;bj:bj,ɜɹk:erke;~~ɜ~
bɪfɔɹ:before;b:b,ɪf:ef,ɔɹ:ore;~~ɪ~ɔ~
bɪhaɪnd:behind;b:b,ɪh:eh,aɪnd:ind;~~ɪ~aɪ~
bɪheɪv:behave;b:b,ɪh:eh,eɪv:ave;~~ɪ~eɪ~
bɪheɪvjəɹ:behavior;b:b,ɪh:eh,eɪvj:av,əɹ:ior;~~ɪ~eɪ~ə~
bɪkeɪm:became;b:b,ɪk:ec,eɪm:ame;~~ɪ~eɪ~
bɪkʌm:become;b:b,ɪk:ec,ʌm:ome;~~ɪ~ʌ~
bɪkʌmz:becomes;b:b,ɪk:ec,ʌmz:omes;~~ɪ~ʌ~
bɪkɛt:bequette;b:b,ɪk:equ,ɛt:ette;~~ɪ~ɛ~
bɪkɔz:because;b:b,ɪk:ec,ɔz:ause;~~ɪ~ɔ~
bɪlaɪɪŋ:belying;b:b,ɪl:el,aɪ:y,ɪŋ:ing;~~ɪ~aɪ~ɪ~
bɪlif:belief;b:b,ɪl:el,if:ief;~~ɪ~i~
bɪliv:believe;b:b,ɪl:el,iv:ieve;~~ɪ~i~
bɪloʊ:below;b:b,ɪl:el,oʊ:ow;~~ɪ~oʊ~
bɪlɔŋ:belong;b:b,ɪl:el,ɔŋ:ong;~~ɪ~ɔ~
bənænə:banana;b:b,ən:an,æn:an,ə:a;~~ə~æ~ə~
bɪniθ:beneath;b:b,ɪn:en,iθ:eath;~~ɪ~i~
bɪsaɪd:beside;b:b,ɪs:es,aɪd:ide;~~ɪ~aɪ~
bɪsaɪdz:besides;b:b,ɪs:es,aɪdz:ides;~~ɪ~aɪ~
bɪtwin:between;b:b,ɪtw:etw,in:een;~~ɪ~i~
bɪjɑnd:beyond;b:b,ɪj:ey,ɑnd:ond;~~ɪ~ɑ~
bɪɡæn:began;b:b,ɪɡ:eg,æn:an;~~ɪ~æ~
bɪɡɪn:begin;b:b,ɪɡ:eg,ɪn:in;~~ɪ~ɪ~
bɪɡɪnɪŋ:beginning;b:b,ɪɡ:eg,ɪn:inn,ɪŋ:ing;~~ɪ~ɪ~ɪ~
bɛdɹum:bedroom;b:b,ɛd:ed,ɹ:r,um:oom;~~ɛ~~u~
bɛd:bed;b:b,ɛd:ed;~~ɛ~
bɛduɪnz:bedouins;b:b,ɛd:ed,u:ou,ɪnz:ins;~~ɛ~u~ɪ~
bɑdɪ:body;b:b,ɑd:od,ɪ:y;~~ɑ~ɪ~
bʌdʒɪtəd:budgeted;b:b,ʌdʒ:udg,ɪt:et,əd:ed;~~ʌ~ɪ~ə~
bʊk:book;b:b,ʊk:ook;~~ʊ~
bɑks:box;b:b,ɑks:ox;~~ɑ~
bʊks:books;b:b,ʊks:ooks;~~ʊ~
bʌkvt:bucket;b:b,ʌkv:uck,t:et;~~ʌ~~
bʊkəɹz:booker's;b:b,ʊk:ook,əɹz:er's;~~ʊ~ə~
bʊlfaɪtəɹ:bullfighter;b:b,ʊl:ull,f:f,aɪt:ight,əɹ:er;~~ʊ~~aɪ~ə~
bɔl:ball;b:b,ɔl:all;~~ɔ~
bɛl:bell;b:b,ɛl:ell;~~ɛ~
bɪl:bill;b:b,ɪl:ill;~~ɪ~
bɪld:build;b:b,ɪld:uild;~~ɪ~
bʊldoʊz:bulldoze;b:b,ʊld:ulld,oʊz:oze;~~ʊ~oʊ~
bɪldɪŋ:building;b:b,ɪld:uild,ɪŋ:ing;~~ɪ~ɪ~
bɛlt:belt;b:b,ɛlt:elt;~~ɛ~
bɪlt:built;b:b,ɪlt:uilt;~~ɪ~
bʊlət:bullet;b:b,ʊl:ull,ət:et;~~ʊ~ə~
bɪlɪən:billion;b:b,ɪl:ill,ɪ:i,ən:on;~~ɪ~ɪ~ə~
bɛləʊz:bellows;b:b,ɛl:ell,əʊz:ows;~~ɛ~əʊ~
bɑm:bomb;b:b,ɑm:omb;~~ɑ~
bʌmz:bums;b:b,ʌmz:ums;~~ʌ~
bɪn:been;b:b,ɪn:een;~~ɪ~
bɛnd:bend;b:b,ɛnd:end;~~ɛ~
bʌndl:bundle;b:b,ʌndl:undle;~~ʌ~
bʌntʃ:bunch;b:b,ʌntʃ:unch;~~ʌ~
bɛnəfɪt:benefit;b:b,ɛn:en,əf:ef,ɪt:it;~~ɛ~ə~ɪ~
bɛnəfɪts:benefits;b:b,ɛn:en,əf:ef,ɪts:its;~~ɛ~ə~ɪ~
bɪnəm:bynum;b:b,ɪn:yn,əm:um;~~ɪ~ə~
bʌs:bus;b:b,ʌs:us;~~ʌ~
bɛst:best;b:b,ɛst:est;~~ɛ~
bɪt:bit;b:b,ɪt:it;~~ɪ~
bʌt:but;b:b,ʌt:ut;~~ʌ~
bɑtl:bottle;b:b,ɑtl:ottle;~~ɑ~
bɑtəm:bottom;b:b,ɑt:ott,əm:om;~~ɑ~ə~
bʌtən:button;b:b,ʌt:utt,ən:on;~~ʌ~ə~
bɛtəɹ:better;b:b,ɛt:ett,əɹ:er;~~ɛ~ə~
bɪtəɹ:bitter;b:b,ɪt:itt,əɹ:er;~~ɪ~ə~
bʌtəɹ:butter;b:b,ʌt:utt,əɹ:er;~~ʌ~ə~
bʌtəɹɪks:butterick's;b:b,ʌt:utt,əɹ:er,ɪks:ick's;~~ʌ~ə~ɪ~
bɪznɪslaɪk:businesslike;b:b,ɪzn:usin,ɪs:ess,l:l,aɪk:ike;~~ɪ~ɪ~~aɪ~
bɪznəsmæn:businessman;b:b,ɪzn:usin,əs:ess,m:m,æn:an;~~ɪ~ə~~æ~
bɪzɪ:busy;b:b,ɪz:us,ɪ:y;~~ɪ~ɪ~
bɪzɪnɛslaɪk:businesslike;b:b,ɪz:us,ɪn:in,ɛs:ess,l:l,aɪk:ike;~~ɪ~ɪ~ɛ~~aɪ~
bɪzɪnɛsmæn:businessman;b:b,ɪz:us,ɪn:in,ɛs:ess,m:m,æn:an;~~ɪ~ɪ~ɛ~~æ~
bɪzɪnəs:business;b:b,ɪz:us,ɪn:in,əs:ess;~~ɪ~ɪ~ə~
bɑɹ:bar;b:b,ɑɹ:ar;~~ɑ~
bɛɡ:beg;b:b,ɛɡ:eg;~~ɛ~
bɛθ:beth;b:b,ɛθ:eth;~~ɛ~
bɪɡ:big;b:b,ɪɡ:ig;~~ɪ~
bʊʃ:bush;b:b,ʊʃ:ush;~~ʊ~
bɛə:bare;b:b,ɛ:a,ə:re;~~ɛ~ə~
bɛə:bear;b:b,ɛ:ea,ə:r;~~ɛ~ə~
bɪə:beer;b:b,ɪ:eer;~~ɪ~ə~
bɑɹbəɹ:barber;b:b,ɑɹb:arb,əɹ:er;~~ɑ~ə~
bɪɹd:beard;b:b,ɪɹd:eard;~~ɪ~
bɜɹd:bird;b:b,ɜɹd:ird;~~ɜ~
bɔɹd:board;b:b,ɔɹd:oard;~~ɔ~
bʌɡd:bugged;b:b,ʌɡd:ugged;~~ʌ~
bɜɹdɪ:birdy;b:b,ɜɹd:ird,ɪ:y;~~ɜ~ɪ~
bɔɹdəɹ:border;b:b,ɔɹd:ord,əɹ:er;~~ɔ~ə~
bɑɹkəʊz:barco's;b:b,ɑɹk:arc,əʊz:o's;~~ɑ~əʊ~
bɜɹlæk:berlack;b:b,ɜɹl:erl,æk:ack;~~ɜ~æ~
bɔɹn:born;b:b,ɔɹn:orn;~~ɔ~
bɜɹn:burn;b:b,ɜɹn:urn;~~ɜ~
bɜɹntsən:berntsen;b:b,ɜɹnt:ernt,s:s,ən:en;~~ɜ~~ə~
bɜɹnz:byrne's;b:b,ɜɹnz:yrne's;~~ɜ~
bɑɹnɪkəl:barnicle;b:b,ɑɹn:arn,ɪk:ic,əl:le;~~ɑ~ɪ~ə~
bɑɹnɪʃ:barnish;b:b,ɑɹn:arn,ɪʃ:ish;~~ɑ~ɪ~
bɑɹoʊ:borrow;b:b,ɑɹ:orr,oʊ:ow;~~ɑ~oʊ~
bɜɹst:burst;b:b,ɜɹst:urst;~~ɜ~
bɜɹtɹənd:bertrand;b:b,ɜɹtɹ:ertr,ənd:and;~~ɜ~ə~
bɔɹz:bors;b:b,ɔɹz:ors;~~ɔ~
bɜɹθdeɪ:birthday;b:b,ɜɹθ:irth,d:d,eɪ:ay;~~ɜ~~eɪ~
bɜɹθ:birth;b:b,ɜɹθ:irth;~~ɜ~
bɛɹɪ:berry;b:b,ɛɹ:err,ɪ:y;~~ɛ~ɪ~
bɜɹɪ:beury;b:b,ɜɹ:eur,ɪ:y;~~ɜ~ɪ~
bɛɹɪ:bury;b:b,ɛɹ:ur,ɪ:y;~~ɛ~ɪ~
bɪɡɛst:biggest;b:b,ɪɡ:igg,ɛst:est;~~ɪ~ɛ~
bɪɡəɹ:bigger;b:b,ɪɡ:igg,əɹ:er;~~ɪ~ə~
bɛɹɪəl:burial;b:b,ɛɹ:ur,ɪ:i,əl:al;~~ɛ~ɪ~ə~
bɜɹɡləɹ:burglar;b:b,ɜɹɡl:urgl,əɹ:ar;~~ɜ~ə~
bɑɹɡɛn:bargain;b:b,ɑɹɡ:arg,ɛn:ain;~~ɑ~ɛ~
bɛnzəʊdɪæzəpɪn:benzodiazepine;b:b,ɛnz:enz,əʊd:od,ɪ:i,æz:az,əp:ep,ɪn:ine;~~ɛ~əʊ~ɪ~æ~ə~ɪ~
bɹæf:braff;bɹ:br,æf:aff;~~æ~
bɹænd:brand;bɹ:br,ænd:and;~~æ~
bɹæntʃ:branch;bɹ:br,æntʃ:anch;~~æ~
bɹæs:brass;bɹ:br,æs:ass;~~æ~
bɹæɡd:bragged;bɹ:br,æɡd:agged;~~æ~
bɹaɪb:bribe;bɹ:br,aɪb:ibe;~~aɪ~
